"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12371","global login with exceptions","chromium","2026-03-24","passed","2026-03-24","","login.spec.ts","",""
"","12778","Validate table columns values","firefox","2026-03-24","passed","2026-03-24","","login.spec.ts","",""
"","14315","global login with exceptions","firefox","2026-03-24","failed","2026-03-24","","login.spec.ts","",""
"","0","Validate table columns values","chromium","2026-03-24","skipped","2026-03-24","","login.spec.ts","",""
"","2302","has title","webkit","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","435","has title","chromium","2026-03-24","failed","2026-03-24","","example.spec.ts","",""
"","8305","get started link","webkit","2026-03-24","failed","2026-03-24","","example.spec.ts","",""
"","16592","get started link","firefox","2026-03-24","failed","2026-03-24","","example.spec.ts","",""
"","9434","Validate table columns values","webkit","2026-03-24","passed","2026-03-24","","login.spec.ts","",""
"","5140","global login with exceptions","webkit","2026-03-24","failed","2026-03-24","","login.spec.ts","",""
"","7376","has title","firefox","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","0","get started link","chromium","2026-03-24","skipped","2026-03-24","","example.spec.ts","",""
